,Name,Brand,Price,Star_Ratings,Dial_Shape,Strap_Color,Model,Battery_Life,Call_Function,Bluetooth_Version,Display_Resolution,Display_Size,Weight,Battery_Type,Operating_System,Internal_Memory,GPS,No_of_Ratings,No_of_Reviews
417,"Fire-Boltt Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes Smartwatch",Fire-Boltt Hurricane ,1499,4.1,Round,Black,"Hurricane 1.3"" Curved Glass Display with 360 Health Training, 100+ Sports Modes","7 days normal, 15 days standby",No,v5.0,240 x 240 Pixels,1.3 mm,36 g,Lithium Ion,np.nan,np.nan,No,188290,25697
418,"Pebble Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res Curved Display, Ultra-Thin Dial Smartwatch",Pebble Cosmos Ult,1699,4.3,Rectangle,Beige,"Cosmos Ultra 1.91"" 600 nits BT-Calling High-Res Curved Display, Ultra-Thin Dial",7 Days Normal Usage,Yes,5.1,240*286 pixel,1.91 Inch,57 g,Lithium Polymer,np.nan,np.nan,No,26176,4965
419,"Fire-Boltt Grenade 1.39'' HD Display, BT Calling, 350 mAh Battery & 123 Sports Modes Smartwatch",Fire-Boltt Grenade 1.,1499,4.1,Round,Black,"Grenade 1.39'' HD Display, BT Calling, 350 mAh Battery & 123 Sports Modes",Upto 9 Days,Yes,v5.0,360 x 360 Pixels,1.39 inch,48 g,Lithium Ion,np.nan,np.nan,Yes,10010,2312
420,"Noise Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design Smartwatch",Noise Evolve 3 1,2299,4.2,Round,Black,"Evolve 3 1.43"" AMOLED Always-On Display with Bluetooth Calling, Metallic Design",7 Days,Yes,np.nan,466 x 466 pixel,36.32 mm,np.nan,np.nan,np.nan,np.nan,np.nan,67139,5446
421,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
422,"CrossBeats Ignite Hustl 2.01"" HD Display, Dual Speaker, BT Calling, 500+ Watch Faces Smartwatch",CrossBeats Ignite Hus,1799,4.1,Square,Black,"Ignite Hustl 2.01"" HD Display, Dual Speaker, BT Calling, 500+ Watch Faces",168,Yes,5.3,240*282 pixel,51 mm,49 g,Lithium Ion,No OS,np.nan,No,198,36
423,"beatXP Vega X 1.43"" AMOLED Display, BT Calling, 60Hz Refresh Rate and Wireless Charging Smartwatch",beatXP Vega X 1.4,1799,4.1,Round,Silver,"Vega X 1.43"" AMOLED Display, BT Calling, 60Hz Refresh Rate and Wireless Charging",Upto 7 Days,Yes,BT 5.2 + BT 3.0,466*466 pixel,36.32 mm,np.nan,Lithium Ion,np.nan,np.nan,np.nan,4224,754
424,"APPLE Watch Series 8, 41mm GPS ECG app, Temperature sensor, IPX6, Fall/Crash Detection",APPLE,26999,4.6,Rectangle,White,"Watch Series 8, 41mm GPS ECG app, Temperature sensor, IPX6, Fall/Crash Detection",Upto 18 hours (Based on Usage),Yes,v5.0,352 x 430 Pixels,41 mm,32 g,Lithium Ion,watchOS 8,32 GB,Yes,5605,306
425,"Fire-Boltt Sphere 1.6"" Sporty Rugged Smartwatch Metal Body Shock Proof, 600 mAh, High Res Smartwatch",Fire-Boltt Sphere 1.6,1899,4.0,Round,Green,"Sphere 1.6"" Sporty Rugged Smartwatch Metal Body Shock Proof, 600 mAh, High Res",Upto 7 Days,Yes,v5.0,400 x 400 Pixels,1.6 inch,50 g,Lithium Ion,np.nan,np.nan,No,8998,1898
426,"Noise Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating Smartwatch","Noise Crew 1.38""",1299,4.2,Round,Blue,"Crew 1.38"" Round Display with Bluetooth Calling, Metallic finish, IP68 Rating",7 Days,Yes,np.nan,240 x 240 pixel,35.052 mm,np.nan,np.nan,np.nan,np.nan,np.nan,73483,5158
427,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Blue,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
428,"APPLE Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection",APPLE,30999,4.6,Rectangle,White,"Watch Series 8, 41mm GPS + Cellular ECG app, Temperature sensor, Crash Detection",Upto 18 hours (Based on Usage),Yes,v5.0,352 x 430 Pixels,41 mm,32 g,Lithium Ion,watchOS 8,32 GB,Yes,1875,108
429,"Pebble Cosmos Vault 1.43""Amoled Display Luxury Metal, Always on Display, BT Calling Smartwatch",Pebble Cosmos Vau,1999,4.2,Rectangle,Black,"Cosmos Vault 1.43""Amoled Display Luxury Metal, Always on Display, BT Calling","Upto 5 Days Battery without BT Calling (AOD off)
Upto 2 Days with BT Calling (AOD on)",Yes,5,466*466 pixel,36.322 mm,102 g,Lithium Polymer,np.nan,np.nan,No,3417,870
430,Fire-Boltt Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging Smartwatch,Fire-Boltt Legacy 1.4,2499,4.2,Round,Black,Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging,Without Bluetooth Calling Function 7 Days With Bluetooth Calling Function 3 Days | 20 Days Standby Mode,Yes,v5.0,466 x 466 Pixel,1.43 Inch,80 g,Lithium Ion,np.nan,np.nan,No,28689,7490
431,"Noise Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant Smartwatch",Noise Icon 3 1.9,1799,4.1,Rectangle,Black,"Icon 3 1.91"" Display with Bluetooth Calling, Metallic finish & Voice Assistant",7 Days,Yes,np.nan,240 x 296 pixel,1.91 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
432,"beatXP Unbound Neo 1.8"" Super AMOLED Display, BT Calling, 500nits Brightness Smartwatch",beatXP Unbound Ne,1299,3.9,Rectangle,Black,"Unbound Neo 1.8"" Super AMOLED Display, BT Calling, 500nits Brightness",Upto 5 Days,np.nan,np.nan,368*448 pixel,45 mm,np.nan,Yes,np.nan,np.nan,np.nan,2549,206
433,"Fire-Boltt Supernova 1.78 AMOLED 368*448px High Resolution,BT Calling and 123 Sports Modes Smartwatch",Fire-Boltt Supernova ,1899,4.1,Square,Yellow,"Supernova 1.78 AMOLED 368*448px High Resolution,BT Calling and 123 Sports Modes",Upto 5 days,np.nan,v5.0,368 x 448 Pixels,1.78 Inch,49.8 g,Yes,np.nan,np.nan,Lithium Ion,49088,9888
434,Noise Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling Smartwatch,Noise Evolve 4 1,3499,4.3,Round,Blue,Evolve 4 1.46 AMOLED Always On Display with Premium Design & Bluetooth Calling,Upto 7 Days,Yes,np.nan,466 x 466 pixel,37.084 mm,np.nan,np.nan,np.nan,np.nan,np.nan,138,10
435,Fire-Boltt King Luxury Stainless Steel 1.78'' Amoled Display 100+ sports Bluetooth Calling Smartwatch,Fire-Boltt King Luxur,2499,4.0,Square,Black,King Luxury Stainless Steel 1.78'' Amoled Display 100+ sports Bluetooth Calling,Upto 7 Days,Yes,V5.0,368 x 448 Pixels,1.78 inch,36.8 g,Lithium Ion,np.nan,np.nan,No,3339,662
436,"Noise Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant Smartwatch",Noise Icon 2 1.8,1299,4.1,Rectangle,Pink,"Icon 2 1.8'' Display with Bluetooth Calling, Women's Edition, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
437,"Boult Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2 Smartwatch",Boult Mirage 1.3,1799,4.3,Round,Black,"Mirage 1.39"" Screen, BT Calling, Working Crown, Zinc Alloy Frame, 500 Nits, SpO2",Upto 7 Days,Yes,v5.3,360 x 360 Pixels,35.31 mm,106 g,Lithium Polymer,np.nan,np.nan,No,1033,115
438,boAt Lunar Mirage with 1.52 '' HD Display & Advanced Bluetooth Calling Smartwatch,boAt Lunar Mira,1799,4.0,Round,Grey,Lunar Mirage with 1.52 '' HD Display & Advanced Bluetooth Calling,Upto 7 days,Yes,np.nan,383 x 383 Pixel,38.6 mm,np.nan,np.nan,np.nan,np.nan,np.nan,25973,1851
439,"Ambrane Marble 1.43"" AMOLED Always-On Display with BT Calling, 1000 Nits, Working Crown Smartwatch",Ambrane Marble 1.4,1599,4.0,Round,Green,"Marble 1.43"" AMOLED Always-On Display with BT Calling, 1000 Nits, Working Crown",Upto 7 Days,Yes,np.nan,466*466 pixel,36.322 mm,np.nan,np.nan,np.nan,np.nan,np.nan,1941,209
440,"Noise Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant Smartwatch",Noise Colorfit I,1299,4.1,Rectangle,Black,"Colorfit Icon 2 1.8'' Display with Bluetooth Calling, AI Voice Assistant",7 Days,Yes,np.nan,240 x 286 pixel,1.8 inch,np.nan,np.nan,np.nan,np.nan,np.nan,403633,26661
441,"Boult Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2 Smartwatch",Boult Crown 1.95,1399,4.1,Square,Orange,"Crown 1.95'' Screen, BT Calling, Working Crown, Zinc Alloy Frame, 900 Nits, SpO2",Upto 5 Days,Yes,v5.2,240 x 283 Pixel,49.53 mm,np.nan,Lithium Polymer,np.nan,np.nan,np.nan,40605,4142
442,"Boult CrownX 2.0"" HD Screen, BT Calling, Working Crown, 1000Nits, Metallic Frame, SpO2 Smartwatch",Boult CrownX 2.0,1399,4.1,Square,Black,"CrownX 2.0"" HD Screen, BT Calling, Working Crown, 1000Nits, Metallic Frame, SpO2",Upto 5 Days,Yes,v5.2,240 x 296 Pixel,50.8 mm,50 g,Lithium Polymer,np.nan,np.nan,No,40605,4142
443,"alt GOAT, 1.78 AMOLED Display, Single Chip Bluetooth Calling, 100+ Watchfaces, IP68 Smartwatch","alt GOAT, 1.78",1299,3.9,Rectangle,Grey,"GOAT, 1.78 AMOLED Display, Single Chip Bluetooth Calling, 100+ Watchfaces, IP68",Upto 7 Days,Yes,v5.3,368 x 448 pixel,45.212 mm,55 g,Lithium Ion,np.nan,np.nan,np.nan,1796,199
444,Fire-Boltt Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging Smartwatch,Fire-Boltt Legacy 1.4,2499,4.2,Round,Silver,Legacy 1.43 AMOLED Bluetooth Calling with First Ever Wireless Charging,Without Bluetooth Calling Function 7 Days With Bluetooth Calling Function 3 Days | 20 Days Standby Mode,Yes,v5.0,466 x 466 Pixel,1.43 Inch,80 g,Lithium Ion,np.nan,np.nan,No,28689,7490
445,"beatXP Marv Raze 1.96"" Display Bluetooth Calling Smart Watch, Smart AI Voice Assistant Smartwatch",beatXP Marv Raze ,1099,4.1,Square,Silver,"Marv Raze 1.96"" Display Bluetooth Calling Smart Watch, Smart AI Voice Assistant",Upto 7 Days,np.nan,np.nan,320 x 386 pixel,4.9 cm,np.nan,Yes,np.nan,np.nan,np.nan,16006,2086
446,"Fire-Boltt Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice Smartwatch",Fire-Boltt Ninja Call,1399,4.2,Square,Grey,"Ninja Calling Pro Plus 1.83 inch Display Smartwatch Bluetooth Calling, AI Voice",Upto 5 Days,Yes,v5.0,240 x 286 Pixel,1.83 inch,40 g,Lithium Ion,np.nan,np.nan,No,215815,33790
